91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,51,51,51,91,91
91,71,71,71,71,71,71,71,71,71,71,71,71,71,71,11,41,11,11,91
91,71,71,71,22,72,24,24,34,24,72,11,11,11,11,11,11,11,11,91
91,71,71,32,22,72,24,24,24,24,72,11,11,11,11,11,11,11,11,91
91,71,22,22,22,11,24,24,24,24,11,11,11,11,11,11,11,11,11,91
91,71,22,22,22,11,11,11,11,11,11,11,11,11,11,11,11,11,11,91
91,71,22,22,22,11,11,11,11,11,11,11,11,11,11,11,11,11,11,91
91,71,23,23,23,11,11,11,81,81,91,91,91,91,91,11,11,11,11,91
91,71,23,23,23,11,11,11,81,81,91,35,25,25,25,11,11,11,11,91
91,71,23,23,23,11,11,11,81,81,91,25,25,25,25,11,11,11,11,91
91,71,71,33,23,11,11,11,81,81,91,25,25,25,25,11,11,11,11,91
91,71,71,71,23,11,11,11,11,11,11,11,11,11,11,11,11,11,11,91
91,71,71,71,23,11,11,11,11,11,11,11,11,11,11,11,91,11,11,91
91,71,71,71,71,11,11,11,11,11,11,11,11,11,11,91,21,21,21,91
52,11,11,11,11,11,11,11,11,11,11,11,11,11,91,21,21,21,21,91
52,42,11,11,11,11,11,11,72,12,72,11,11,11,91,21,21,21,31,91
52,11,11,11,11,11,11,11,11,72,11,11,11,11,91,81,81,81,81,91
91,71,71,71,71,11,11,11,11,11,11,11,11,11,91,81,81,81,81,91
91,11,11,11,11,11,11,11,11,11,11,11,11,11,91,81,81,81,81,91
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91
