91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91
91,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,91
91,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,91
91,13,13,26,26,26,26,26,72,72,72,72,72,91,91,91,91,91,91,91,91,91,91,91,91,91,91,13,13,91
91,13,13,26,26,26,26,36,72,81,81,81,81,91,13,13,13,13,13,13,13,13,13,13,13,13,91,13,13,91
91,13,13,26,26,26,26,26,72,81,81,81,81,91,13,13,13,13,13,13,13,13,13,13,13,13,91,13,13,91
91,13,13,91,91,91,91,91,91,91,91,91,91,91,13,13,91,91,91,91,91,91,91,91,13,13,91,13,13,91
91,13,13,91,13,13,91,13,13,13,13,13,13,13,13,13,13,13,13,13,91,13,13,91,13,13,91,13,13,91
91,13,13,91,13,13,91,13,13,13,13,13,13,13,13,13,13,13,13,13,91,13,13,91,13,13,91,13,13,91
91,13,13,91,13,13,91,13,13,91,91,91,91,91,91,91,91,91,91,91,91,13,13,91,13,13,91,13,13,91
91,13,13,91,13,13,91,13,13,91,13,13,13,13,13,13,13,13,13,13,91,13,13,91,13,13,91,13,13,91
91,13,13,91,13,13,91,13,13,91,13,13,13,13,13,13,13,13,13,13,91,13,13,91,13,13,91,13,13,91
91,13,13,91,13,13,91,13,13,91,13,13,91,91,91,91,91,91,13,13,91,13,13,91,13,13,91,13,13,91
91,13,13,91,13,13,91,13,13,91,13,13,91,13,13,42,13,91,13,13,91,13,13,91,13,13,91,13,13,91
91,13,13,13,13,13,91,13,13,91,13,13,91,13,13,13,13,91,13,13,13,13,13,91,13,13,91,13,13,91
91,13,13,13,13,13,91,13,13,91,13,13,91,13,13,13,13,91,13,13,13,13,13,91,13,13,91,13,13,91
91,13,13,91,13,13,91,13,13,91,13,13,91,13,13,13,13,91,13,13,91,13,13,91,13,13,91,13,13,91
91,13,13,91,13,13,91,13,13,91,13,13,91,91,13,13,91,91,91,91,91,13,13,91,13,13,91,13,13,91
91,13,13,91,13,13,91,13,13,91,13,13,13,13,13,13,13,13,13,13,91,13,13,91,13,13,91,13,13,91
91,13,13,91,13,13,91,13,13,91,13,13,13,13,13,13,13,13,13,13,91,13,13,91,13,13,91,13,13,91
91,13,13,91,13,13,91,13,13,91,91,91,91,91,91,91,91,91,91,91,91,13,13,91,13,13,91,13,13,91
91,13,13,91,13,13,91,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,91,13,13,91,13,13,91
91,13,13,91,13,13,91,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,91,13,13,91,13,13,91
91,13,13,91,13,13,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,13,13,91,13,13,91
91,13,13,91,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,91,13,13,91
91,13,13,91,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,91,13,13,91
91,13,13,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,13,13,91
91,13,13,13,13,13,13,13,13,13,13,91,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,91
91,13,13,13,13,13,13,13,13,13,13,91,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,91
91,91,91,91,91,91,91,91,91,91,91,91,52,52,52,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91
